Product Title,Product Category,Product ID,Price,Image Link,Product Description
SAZON TROPICAL ARROZ BADIA  191GR,Grocery,135146,"¢3,035",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/033844007355.jpg.png,SAZON TROPICAL ARROZ BADIA  191GR
SAZONADOR ITALIANO BADIA 35.4GR,Grocery,57430,"¢2,860",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/033844007423.jpg.png,SAZONADOR ITALIANO BADIA 35.4GR
SAZON TROPICAL CARNE BADIA 191GR,Grocery,135147,"¢2,870",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/033844007577.jpg.png,SAZON TROPICAL CARNE BADIA 191GR
CHOCOLATE MILK KISSES HERSHEY'S 150GR,Grocery,32362,"¢2,000",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/034000134106.jpg.png,CHOCOLATE MILK KISSES HERSHEY'S 150GR
CHIPS MILK CHOC.HERSHEYS,Grocery,58102,"¢3,165",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/034000146000.jpg.png,CHIPS MILK CHOC.HERSHEYS
SEMI-SWEET CHIPS HERSHEYS,Grocery,47631,"¢3,005",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/034000148301.jpg.png,SEMI-SWEET CHIPS HERSHEYS
CHOCOLATE BARRA GIGANTE MILK HERSHEYS 198GR,Grocery,134132,"¢2,800",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/034000190454.jpg.png,CHOCOLATE BARRA GIGANTE MILK HERSHEYS 198GR
CHOCOLATE CON ALMENDRAS HERSHEYS 192GR,Grocery,134131,"¢2,800",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/034000191413.jpg.png,CHOCOLATE CON ALMENDRAS HERSHEYS 192GR
CHOCOLATE OSCURO HERSHEY SIN AZUCAR 85 GR,Grocery,86732,"¢2,500",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/034000270217.jpg.png,CHOCOLATE OSCURO HERSHEY SIN AZUCAR 85 GR
PAPAS TOSTADAS ORIGINAL PRINGLES 40 GR,Grocery,112005,¢625,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/037000185086.jpg.png,PAPAS TOSTADAS ORIGINAL PRINGLES 40 GR
PAPAS CREMA CEBOLLA PRINGLES 40 GR,Grocery,112006,¢625,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/038000846748.jpg.png,PAPAS CREMA CEBOLLA PRINGLES 40 GR
PAPAS TOSTADAS QUESO PRINGLES 40 GR,Grocery,112007,¢625,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/038000846755.jpg.png,PAPAS TOSTADAS QUESO PRINGLES 40 GR
PAPAS TOSTADAS QUESO PRINGLES 74 GR,Grocery,112030,"¢1,195",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/038000845260.jpg.png,PAPAS TOSTADAS QUESO PRINGLES 74 GR
PAPAS TOSTADAS ORIGINAL PRINGLES 74 GR,Grocery,112028,"¢1,195",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/038000845246.jpg.png,PAPAS TOSTADAS ORIGINAL PRINGLES 74 GR
PAPAS TOSTADAS CREMA CEBOLLA PRINGLES 74 GR,Grocery,112029,"¢1,195",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/038000845253.jpg.png,PAPAS TOSTADAS CREMA CEBOLLA PRINGLES 74 GR
CEREAL DE AVENA SQUARES QUAKER 412g,Grocery,129806,"¢2,800",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/29/038527591060.jpg.png,CEREAL DE AVENA SQUARES QUAKER 412g
BOLSA BASURA KANGURO PEQUENA 9UND,Grocery,61408,¢350,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/039944099108.jpg.png,BOLSA BASURA KANGURO PEQUENA 9UND
BOLSA ALIMENTOS  CENTINEL 25UND,Grocery,48668,¢570,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/039944124169.jpg.png,BOLSA ALIMENTOS  CENTINEL 25UND
BOLSA BASURA KANGURO MEDIANA 9UND,Grocery,17447,¢430,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/039944199075.jpg.png,BOLSA BASURA KANGURO MEDIANA 9UND
BOLSA BASURA KANGURO GRANDE 9UNID,Grocery,17449,¢750,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/039944199099.jpg.png,BOLSA BASURA KANGURO GRANDE 9UNID
BOLSAS JARDIN KANGURO 5UNID,Grocery,105013,"¢1,250",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/039944199105.jpg.png,BOLSAS JARDIN KANGURO 5UNID
CHOCOLATE MILKY WAY 52.2GR,Grocery,39223,¢720,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/040000422068.jpg.png,CHOCOLATE MILKY WAY 52.2GR
CHOCOLATE SNICKERS 52.7GR,Grocery,39224,¢750,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/040000514251.jpg.png,CHOCOLATE SNICKERS 52.7GR
CORAZON ALCACHOFA ROLAND 390GR,Grocery,40067,"¢3,285",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/041224402409.jpg.png,CORAZON ALCACHOFA ROLAND 390GR
ELOTITO VINAGRE ROLAND 225GR,Grocery,25083,"¢1,930",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/041224451407.jpg.png,ELOTITO VINAGRE ROLAND 225GR
SOPA POLLO FIDEOS ROLAND 85g,Grocery,49721,¢295,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/29/041224722002.jpg.png,SOPA POLLO FIDEOS ROLAND 85g
FIDEOS RAMEN CANGRJ.ROLAND,Grocery,86931,¢295,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/041224722408.jpg.png,FIDEOS RAMEN CANGRJ.ROLAND
ACEITE DE SESAMO ROLAND 185ML,Grocery,6103,"¢4,530",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/041224871229.jpg.png,ACEITE DE SESAMO ROLAND 185ML
SOPA INSTANTANEA SABOR A QUESO MARUCHAN 64GR,Grocery,109659,¢415,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/041789001833.jpg.png,SOPA INSTANTANEA SABOR A QUESO MARUCHAN 64GR
SOPA INSTANTANEA POLLO PICANTE MARUCHAN 54GRS,Grocery,109657,¢450,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/041789001840.jpg.png,SOPA INSTANTANEA POLLO PICANTE MARUCHAN 54GRS
SOPA INSTANTANEA RES MARUCHAN 64g,Grocery,78374,¢415,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/29/041789001925.jpg.png,SOPA INSTANTANEA RES MARUCHAN 64g
SOPA INSTANTANEA CAMARON MARUCHAN 64GRS,Grocery,78375,¢395,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/041789001956.jpg.png,SOPA INSTANTANEA CAMARON MARUCHAN 64GRS
SOPA INSTANTANEA CAMARON PICANTE MARUCHAN 64GRS,Grocery,109658,¢395,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/041789001987.jpg.png,SOPA INSTANTANEA CAMARON PICANTE MARUCHAN 64GRS
ACEITE DE OLIVA EXTRA VIRGEN YBARRA 250ML,Grocery,105628,"¢2,500",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/048327203537.jpg.png,ACEITE DE OLIVA EXTRA VIRGEN YBARRA 250ML
PALMITO ENTERO LA CIMA 400GRS,Grocery,47240,"¢1,400",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/7441000708108.jpg.png,PALMITO ENTERO LA CIMA 400GRS
ACEITE ORIGINAL SPRAY CRISCO 170g,Grocery,61566,"¢3,975",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/29/051500117392.jpg.png,ACEITE ORIGINAL SPRAY CRISCO 170g
MANTEQUILLA DE MANI JIF 340GR,Grocery,58591,"¢3,185",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/051500241912.jpg.png,MANTEQUILLA DE MANI JIF 340GR
ACEITE CANOLA CRISCO 946ml,Grocery,69191,"¢4,225",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/29/051500254790.jpg.png,ACEITE CANOLA CRISCO 946ml
ACEITE DE MAÍZ PURO CRISCO 1400ml,Grocery,59972,"¢5,045",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/051500706572.jpg.png,ACEITE DE MAÍZ PURO CRISCO 1400ml
MEZCLA SALSA PAVO GRAVY MCCORMICK 24GR,Grocery,101243,"¢1,205",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/052100090306.jpg.png,MEZCLA SALSA PAVO GRAVY MCCORMICK 24GR
CROUTONS CAESAR GRISSOL 150GR,Grocery,39292,"¢1,455",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/056951451118.jpg.png,CROUTONS CAESAR GRISSOL 150GR
CHOCOLATE FRUIT&NUT CADBURY  42GR,Grocery,74183,"¢1,000",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/061200084436.jpg.png,CHOCOLATE FRUIT&NUT CADBURY  42GR
CHOCOLATE DAIRY MILK CADBURY  42GR,Grocery,74182,"¢1,000",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/061200084450.jpg.png,CHOCOLATE DAIRY MILK CADBURY  42GR
ACEITE ORIGINAL CANOLA SPRAY PAM 170g,Grocery,63370,"¢3,600",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/29/064144030217.jpg.png,ACEITE ORIGINAL CANOLA SPRAY PAM 170g
ACEITE CANOLA SPRAY MANTEQUILLA PAM 141GR,Grocery,63371,"¢3,600",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/064144043545.jpg.png,ACEITE CANOLA SPRAY MANTEQUILLA PAM 141GR
TE EARL GREY TWININGS 50GR,Grocery,101946,"¢3,550",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/070177077563.jpg.png,TE EARL GREY TWININGS 50GR
TE TWININGS INDIAN CHAI,Grocery,117665,"¢3,750",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/070177145118.jpg.png,TE TWININGS INDIAN CHAI
TE TWININGS BLANCO 25UND,Grocery,117664,"¢3,650",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/070177230234.jpg.png,TE TWININGS BLANCO 25UND
ALCAPARRAS NON PAREILLES ALESSI 104MK,Grocery,64688,"¢1,855",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/071072011126.jpg.png,ALCAPARRAS NON PAREILLES ALESSI 104MK
VINAGRE BALSAMICO ALESSI 375 ML,Grocery,64689,"¢3,555",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/071072011317.jpg.png,VINAGRE BALSAMICO ALESSI 375 ML
CORAZON ALCACHOFA ALESSI 170GR,Grocery,82346,"¢2,065",https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/071072012314.jpg.png,CORAZON ALCACHOFA ALESSI 170GR
GOMITAS GOMILOCAS PINGUINOS RICOLINO 125GR,Grocery,114459,¢810,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/074323047165.jpg.png,GOMITAS GOMILOCAS PINGUINOS RICOLINO 125GR
GOMITAS GOMILOCAS DIENTES RICOLINO 125GR,Grocery,114458,¢860,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/074323079715.jpg.png,GOMITAS GOMILOCAS DIENTES RICOLINO 125GR
PALETA PAYASO RICOLINO 45GR,Grocery,79008,¢470,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/7501000278404.jpg.png,PALETA PAYASO RICOLINO 45GR
PALOMITA MAIZ NATURAL ACT II 85 GR,Grocery,43717,¢550,https://www.peridomicilio.com/images/thumbnails/60/60/detailed/5/076150601329.jpg.png,PALOMITA MAIZ NATURAL ACT II 85 GR
